lat,lon,populacija,kategorija,boja,tip_punjaca
25.37916690115,51.45416574085003,3372.385986328125,1,red,AC nivo 2
25.15416690205,51.58749907365003,3363.375244140625,3,yellow,Ultra brzi
25.39583356775,51.45416574085003,3347.561279296875,1,red,AC nivo 2
25.32916690135,51.38749907445003,3333.751953125,2,blue,DC
25.33750023465,51.429165740950026,3322.21728515625,1,red,AC nivo 2
25.22083356845,51.49583240735003,3275.09912109375,2,blue,DC
25.32916690135,51.45416574085003,3242.4609375,1,red,AC nivo 2
25.19583356855,51.36249907455003,3241.690673828125,1,red,AC nivo 2
25.24583356835,51.37083240785003,3229.68212890625,1,red,AC nivo 2
25.27916690155,51.429165740950026,3228.69140625,3,yellow,Ultra brzi
25.32916690135,51.512499073950025,3198.766845703125,1,red,AC nivo 2
25.34583356795,51.46249907415003,3170.782958984375,1,red,AC nivo 2
25.320833568050002,51.38749907445003,3167.568359375,2,blue,DC
25.254166901650002,51.429165740950026,3132.52685546875,1,red,AC nivo 2
25.320833568050002,51.50416574065003,3131.584716796875,2,blue,DC
25.31250023475,51.46249907415003,3128.125732421875,1,red,AC nivo 2
25.15416690205,51.54583240715003,3116.631591796875,3,yellow,Ultra brzi
25.29583356815,51.43749907425003,3111.956298828125,1,red,AC nivo 2
25.320833568050002,51.39583240775003,3096.0458984375,1,red,AC nivo 2
25.36250023455,51.429165740950026,3088.3310546875,1,red,AC nivo 2
25.28750023485,51.48749907405003,3087.693115234375,2,blue,DC
25.33750023465,51.43749907425003,3067.453857421875,2,blue,DC
25.254166901650002,51.37083240785003,3053.956298828125,3,yellow,Ultra brzi
25.36250023455,51.512499073950025,3047.98046875,4,green,AC nivo 2
25.22083356845,51.420832407650025,3043.257568359375,1,red,AC nivo 2
25.28750023485,51.44583240755003,3037.730224609375,3,yellow,Ultra brzi
25.24583356835,51.43749907425003,3033.22509765625,1,red,AC nivo 2
25.19583356855,51.46249907415003,2976.022216796875,1,red,AC nivo 2
25.229166901750002,51.420832407650025,2947.86572265625,1,red,AC nivo 2
25.387500234450002,51.45416574085003,2931.811279296875,3,yellow,Ultra brzi
25.19583356855,51.37083240785003,2916.771240234375,1,red,AC nivo 2
25.19583356855,51.512499073950025,2915.69091796875,2,blue,DC
25.22083356845,51.44583240755003,2883.0517578125,2,blue,DC
25.320833568050002,51.45416574085003,2874.8583984375,4,green,AC nivo 2
25.412500234350002,51.40416574105003,2862.705810546875,1,red,AC nivo 2
25.27083356825,51.470832407450025,2858.577392578125,2,blue,DC
25.23750023505,51.47916574075003,2823.31982421875,2,blue,DC
25.254166901650002,51.36249907455003,2819.430419921875,1,red,AC nivo 2
25.18750023525,51.612499073550026,2816.548583984375,3,yellow,Ultra brzi
25.33750023465,51.48749907405003,2786.991943359375,2,blue,DC
25.17916690195,51.562499073750026,2775.597900390625,1,red,AC nivo 2
