inst,min,avg
wlp01,34377,34377
wlp02,60055,60347.9
wlp03,73064,73677.8
wlp04,97624,98247.5
wlp05,116841,117319.3
wlp06,126802,127334.7
wlp07,183445,183797.8
wlp08,211885,212515.1
wlp09,245345,245922.1
wlp10,274494,275508.5
wlp11,321833,322804.4
wlp12,332666,333412.6
wlp13,349548,350811.3
wlp14,436583,438183.4
wlp15,502617,504380.3
wlp16,580481,581807.7
wlp17,616041,617354.1
wlp18,683724,686295.7
